order_id;customer_id;order_date;delivery_due_date;priority_level;total_weight_kg;total_volume_cbm;pallet_count;goods_type;material;plant;storage_location;goods_sensitivity;pickup_location_id;delivery_location_id;promised_eta;order_status;price
ORD-0000064;CUST-01961;2026-01-16;2026-01-18;High;3102;20,89;21;FMCG;MAT-6684;KOL-PLANT;SL-3;Temperature Controlled;WH-KOL-01;WH-GUW-01;2026-01-18 06:00;Confirmed;555102
ORD-0000065;CUST-01156;2026-03-23;2026-03-25;Low;2344;4,7;3;Steel;MAT-6649;KOL-PLANT;SL-7;Normal;WH-KOL-01;WH-BHU-01;2026-03-25 06:00;Confirmed;667504
ORD-0000066;CUST-00158;2026-01-11;2026-01-13;High;3431;13,93;16;Auto Parts;MAT-3717;PUN-PLANT;SL-8;Normal;WH-PUN-01;WH-NAG-01;2026-01-13 06:00;Confirmed;753382
ORD-0000067;CUST-00238;2026-01-28;2026-01-30;Medium;3734;11,07;17;Auto Parts;MAT-7338;HYD-PLANT;SL-12;Hazardous;WH-HYD-01;WH-VIZ-01;2026-01-30 06:00;Confirmed;318066
ORD-0000068;CUST-00613;2026-01-23;2026-01-25;Medium;2459;20,77;15;Pharma;MAT-2881;AHM-PLANT;SL-8;Hazardous;WH-AHM-01;WH-JAI-01;2026-01-25 06:00;Confirmed;171218
ORD-0000069;CUST-02534;2026-02-20;2026-02-22;Low;3251;13,41;9;Steel;MAT-4343;LUC-PLANT;SL-5;Fragile;WH-LUC-01;WH-DEL-01;2026-02-22 06:00;Confirmed;70784
ORD-0000070;CUST-00776;2026-02-13;2026-02-15;Medium;3546;18,01;10;Auto Parts;MAT-4438;IND-PLANT;SL-8;Hazardous;WH-IND-01;WH-MUM-01;2026-02-15 06:00;Confirmed;408537
ORD-0000071;CUST-00367;2026-03-26;2026-03-28;Low;1462;14,38;5;Steel;MAT-7138;COI-PLANT;SL-12;Temperature Controlled;WH-COI-01;WH-CHE-01;2026-03-28 06:00;Confirmed;255482
ORD-0000072;CUST-00820;2026-03-02;2026-03-04;Medium;3826;7,67;24;FMCG;MAT-9661;PAT-PLANT;SL-2;Hazardous;WH-PAT-01;WH-KOL-01;2026-03-04 06:00;Confirmed;208970
ORD-0000073;CUST-02662;2026-01-13;2026-01-15;Medium;1193;23,17;10;Machinery;MAT-9003;RAN-PLANT;SL-10;Fragile;WH-RAN-01;WH-DEL-01;2026-01-15 06:00;Confirmed;779778
ORD-0000074;CUST-02480;2026-03-04;2026-03-06;Medium;1550;2,1;4;FMCG;MAT-7046;GUW-PLANT;SL-11;Fragile;WH-GUW-01;WH-SIL-01;2026-03-06 06:00;Confirmed;521499
ORD-0000075;CUST-00249;2026-03-23;2026-03-25;Low;3589;24,42;27;Textiles;MAT-6057;BAN-PLANT;SL-11;Fragile;WH-BAN-01;WH-MYS-01;2026-03-25 06:00;Confirmed;152624
ORD-0000076;CUST-00980;2026-03-03;2026-03-05;Medium;1106;13,19;21;Pharma;MAT-6151;BAN-PLANT;SL-15;Hazardous;WH-BAN-01;WH-HYD-01;2026-03-05 06:00;Confirmed;120321
ORD-0000077;CUST-01608;2026-01-29;2026-01-31;Low;1942;9,73;21;Auto Parts;MAT-9418;BAN-PLANT;SL-8;Temperature Controlled;WH-BAN-01;WH-CHE-01;2026-01-31 06:00;Confirmed;318323
ORD-0000078;CUST-02769;2026-01-17;2026-01-19;Low;2324;13,31;6;Machinery;MAT-5564;BAN-PLANT;SL-15;Normal;WH-BAN-01;WH-MUM-01;2026-01-19 06:00;Confirmed;95626
ORD-0000079;CUST-01061;2026-03-13;2026-03-15;Medium;421;5,83;26;Machinery;MAT-5050;BAN-PLANT;SL-1;Normal;WH-BAN-01;WH-DEL-01;2026-03-15 06:00;Confirmed;140179
ORD-0000080;CUST-01319;2026-01-21;2026-01-23;High;686;11,32;25;FMCG;MAT-2495;DEL-PLANT;SL-10;Normal;WH-DEL-01;WH-MUM-01;2026-01-23 06:00;Confirmed;76767
ORD-0000081;CUST-00370;2026-01-25;2026-01-27;Low;2714;3,2;4;Auto Parts;MAT-9128;DEL-PLANT;SL-6;Temperature Controlled;WH-DEL-01;WH-KOL-01;2026-01-27 06:00;Confirmed;732412
ORD-0000082;CUST-02136;2026-03-02;2026-03-04;Medium;1553;14,32;25;Pharma;MAT-3175;DEL-PLANT;SL-11;Normal;WH-DEL-01;WH-JAI-01;2026-03-04 06:00;Confirmed;677019
ORD-0000083;CUST-01078;2026-03-09;2026-03-11;Low;1910;6,13;27;Auto Parts;MAT-8397;MUM-PLANT;SL-14;Temperature Controlled;WH-MUM-01;WH-AHM-01;2026-03-11 06:00;Confirmed;543585
ORD-0000084;CUST-01748;2026-03-12;2026-03-14;Medium;3934;12,76;14;Electronics;MAT-8276;MUM-PLANT;SL-3;Temperature Controlled;WH-MUM-01;WH-PUN-01;2026-03-14 06:00;Confirmed;783303
ORD-0000085;CUST-00672;2026-02-22;2026-02-24;Low;3830;24,5;8;Auto Parts;MAT-8301;MUM-PLANT;SL-1;Hazardous;WH-MUM-01;WH-SUR-01;2026-02-24 06:00;Confirmed;562353
ORD-0000086;CUST-00867;2026-03-02;2026-03-04;High;3720;4,78;11;Textiles;MAT-9369;CHE-PLANT;SL-13;Fragile;WH-CHE-01;WH-HYD-01;2026-03-04 06:00;Confirmed;794041
ORD-0000087;CUST-01130;2026-01-24;2026-01-26;Low;740;13,29;15;Textiles;MAT-5092;CHE-PLANT;SL-7;Hazardous;WH-CHE-01;WH-KOL-01;2026-01-26 06:00;Confirmed;263268
ORD-0000088;CUST-02184;2026-02-02;2026-02-04;Low;1315;20,04;22;FMCG;MAT-8837;CHE-PLANT;SL-8;Fragile;WH-CHE-01;WH-BAN-01;2026-02-04 06:00;Confirmed;181430
ORD-0000089;CUST-01680;2026-03-20;2026-03-22;Low;785;3,98;17;Textiles;MAT-4158;KOL-PLANT;SL-11;Normal;WH-KOL-01;WH-GUW-01;2026-03-22 06:00;Confirmed;775089
ORD-0000090;CUST-00637;2026-02-02;2026-02-04;Low;3960;22,11;14;Machinery;MAT-8196;KOL-PLANT;SL-8;Normal;WH-KOL-01;WH-BHU-01;2026-02-04 06:00;Confirmed;401123
ORD-0000091;CUST-00866;2026-01-16;2026-01-18;High;3206;14,6;18;Steel;MAT-2700;PUN-PLANT;SL-10;Temperature Controlled;WH-PUN-01;WH-NAG-01;2026-01-18 06:00;Confirmed;163110
ORD-0000092;CUST-00462;2026-02-10;2026-02-12;High;818;11,77;28;Electronics;MAT-1935;HYD-PLANT;SL-14;Fragile;WH-HYD-01;WH-VIZ-01;2026-02-12 06:00;Confirmed;375276
ORD-0000093;CUST-00051;2026-01-13;2026-01-15;Medium;1788;14,57;17;Auto Parts;MAT-1764;AHM-PLANT;SL-2;Hazardous;WH-AHM-01;WH-JAI-01;2026-01-15 06:00;Confirmed;531269
ORD-0000094;CUST-00961;2026-03-04;2026-03-06;Low;296;8,76;10;Machinery;MAT-5228;LUC-PLANT;SL-8;Fragile;WH-LUC-01;WH-DEL-01;2026-03-06 06:00;Confirmed;644995
ORD-0000095;CUST-02869;2026-01-15;2026-01-17;Medium;2304;11,92;6;Machinery;MAT-7316;IND-PLANT;SL-2;Normal;WH-IND-01;WH-MUM-01;2026-01-17 06:00;Confirmed;759713
ORD-0000096;CUST-02429;2026-03-07;2026-03-09;High;2704;7,6;21;FMCG;MAT-5025;COI-PLANT;SL-8;Hazardous;WH-COI-01;WH-CHE-01;2026-03-09 06:00;Confirmed;274591
ORD-0000097;CUST-00843;2026-01-06;2026-01-08;Low;2400;16,35;21;Electronics;MAT-1578;PAT-PLANT;SL-11;Normal;WH-PAT-01;WH-KOL-01;2026-01-08 06:00;Confirmed;517379
ORD-0000098;CUST-01267;2026-03-04;2026-03-06;Low;905;6,92;18;Machinery;MAT-5506;RAN-PLANT;SL-9;Fragile;WH-RAN-01;WH-DEL-01;2026-03-06 06:00;Confirmed;712588
ORD-0000099;CUST-00554;2026-01-16;2026-01-18;High;3250;19,34;4;Electronics;MAT-9645;GUW-PLANT;SL-12;Hazardous;WH-GUW-01;WH-SIL-01;2026-01-18 06:00;Confirmed;548101
ORD-0000100;CUST-00620;2026-03-29;2026-03-31;Medium;3383;7,62;29;FMCG;MAT-2031;BAN-PLANT;SL-5;Temperature Controlled;WH-BAN-01;WH-MYS-01;2026-03-31 06:00;Confirmed;619402
ORD-0000101;CUST-02183;2026-02-25;2026-02-27;Low;837;9,03;16;Steel;MAT-3149;BAN-PLANT;SL-14;Normal;WH-BAN-01;WH-HYD-01;2026-02-27 06:00;Confirmed;442862
ORD-0000102;CUST-00056;2026-01-21;2026-01-23;Medium;3818;11,67;28;Textiles;MAT-8761;BAN-PLANT;SL-13;Hazardous;WH-BAN-01;WH-CHE-01;2026-01-23 06:00;Confirmed;249185
ORD-0000103;CUST-00805;2026-03-17;2026-03-19;High;3870;24,99;19;Electronics;MAT-9125;BAN-PLANT;SL-10;Normal;WH-BAN-01;WH-MUM-01;2026-03-19 06:00;Confirmed;433172
ORD-0000104;CUST-01707;2026-02-17;2026-02-19;High;717;2,66;11;Machinery;MAT-3097;BAN-PLANT;SL-4;Normal;WH-BAN-01;WH-DEL-01;2026-02-19 06:00;Confirmed;143127
ORD-0000105;CUST-02957;2026-01-29;2026-01-31;Medium;3584;11,98;13;FMCG;MAT-1490;DEL-PLANT;SL-7;Hazardous;WH-DEL-01;WH-MUM-01;2026-01-31 06:00;Confirmed;362041
ORD-0000106;CUST-01108;2026-02-02;2026-02-04;Medium;2212;24,67;7;Textiles;MAT-1176;DEL-PLANT;SL-6;Fragile;WH-DEL-01;WH-KOL-01;2026-02-04 06:00;Confirmed;704633
ORD-0000107;CUST-00407;2026-02-23;2026-02-25;High;2290;24,66;1;FMCG;MAT-8146;DEL-PLANT;SL-5;Temperature Controlled;WH-DEL-01;WH-JAI-01;2026-02-25 06:00;Confirmed;564929
ORD-0000108;CUST-02291;2026-01-16;2026-01-18;Low;3264;5,45;23;Steel;MAT-3710;MUM-PLANT;SL-10;Hazardous;WH-MUM-01;WH-AHM-01;2026-01-18 06:00;Confirmed;760344
ORD-0000109;CUST-02107;2026-02-16;2026-02-18;High;3676;21,09;29;Textiles;MAT-2675;MUM-PLANT;SL-6;Hazardous;WH-MUM-01;WH-PUN-01;2026-02-18 06:00;Confirmed;705862
ORD-0000110;CUST-00307;2026-01-04;2026-01-06;Medium;3486;18,34;12;FMCG;MAT-9117;MUM-PLANT;SL-8;Normal;WH-MUM-01;WH-SUR-01;2026-01-06 06:00;Confirmed;541953
ORD-0000111;CUST-00494;2026-02-01;2026-02-03;High;805;15,82;10;FMCG;MAT-1737;CHE-PLANT;SL-14;Fragile;WH-CHE-01;WH-HYD-01;2026-02-03 06:00;Confirmed;731070
ORD-0000112;CUST-00260;2026-02-01;2026-02-03;High;2246;4,08;26;Pharma;MAT-8774;CHE-PLANT;SL-3;Hazardous;WH-CHE-01;WH-KOL-01;2026-02-03 06:00;Confirmed;65199
ORD-0000113;CUST-01840;2026-02-06;2026-02-08;Medium;3835;18,96;6;Steel;MAT-6924;CHE-PLANT;SL-11;Normal;WH-CHE-01;WH-BAN-01;2026-02-08 06:00;Confirmed;459858
ORD-0000114;CUST-01269;2026-02-23;2026-02-25;High;3240;9,87;6;Auto Parts;MAT-1850;KOL-PLANT;SL-11;Fragile;WH-KOL-01;WH-GUW-01;2026-02-25 06:00;Confirmed;190340
ORD-0000115;CUST-01998;2026-03-07;2026-03-09;Medium;2686;1,39;6;Electronics;MAT-7388;KOL-PLANT;SL-14;Temperature Controlled;WH-KOL-01;WH-BHU-01;2026-03-09 06:00;Confirmed;407233
ORD-0000116;CUST-01898;2026-02-26;2026-02-28;High;1933;17,24;25;Machinery;MAT-7246;PUN-PLANT;SL-6;Temperature Controlled;WH-PUN-01;WH-NAG-01;2026-02-28 06:00;Confirmed;678937
ORD-0000117;CUST-01634;2026-01-14;2026-01-16;Medium;3085;10,6;25;FMCG;MAT-4050;HYD-PLANT;SL-15;Normal;WH-HYD-01;WH-VIZ-01;2026-01-16 06:00;Confirmed;222181
ORD-0000118;CUST-00448;2026-01-14;2026-01-16;High;883;15,81;5;Electronics;MAT-8636;AHM-PLANT;SL-5;Hazardous;WH-AHM-01;WH-JAI-01;2026-01-16 06:00;Confirmed;79106
ORD-0000119;CUST-02946;2026-03-20;2026-03-22;Low;2225;2,7;1;Machinery;MAT-6174;LUC-PLANT;SL-6;Normal;WH-LUC-01;WH-DEL-01;2026-03-22 06:00;Confirmed;492284
ORD-0000120;CUST-01539;2026-02-22;2026-02-24;High;1112;4,61;18;Steel;MAT-3502;IND-PLANT;SL-5;Fragile;WH-IND-01;WH-MUM-01;2026-02-24 06:00;Confirmed;735557
ORD-0000121;CUST-02594;2026-02-22;2026-02-24;Medium;3174;12,07;5;Textiles;MAT-2808;COI-PLANT;SL-13;Normal;WH-COI-01;WH-CHE-01;2026-02-24 06:00;Confirmed;274412
ORD-0000122;CUST-02615;2026-02-19;2026-02-21;Medium;3285;24,07;1;Pharma;MAT-3525;PAT-PLANT;SL-13;Normal;WH-PAT-01;WH-KOL-01;2026-02-21 06:00;Confirmed;52204
ORD-0000123;CUST-02119;2026-01-19;2026-01-21;Medium;1085;23,56;15;FMCG;MAT-1334;RAN-PLANT;SL-1;Hazardous;WH-RAN-01;WH-DEL-01;2026-01-21 06:00;Confirmed;329985
ORD-0000124;CUST-02464;2026-01-17;2026-01-19;High;3519;18,05;10;FMCG;MAT-3561;GUW-PLANT;SL-14;Temperature Controlled;WH-GUW-01;WH-SIL-01;2026-01-19 06:00;Confirmed;294128
